title,description,category,sub_category,type,image_link,availability
La-Z-Boy Green Rocking Recliner,"Features mossy green chenille upholstery, contemporary styling, tufted wall hugging back, angled pillow top arms, rocking base, and manual pull lever recline on the right hand side.  
 
	
		 
 Manufacturer  = La-Z-Boy 
	
		 
 Condition  = Exc. Cond. 
	
		 
 Style  = Contemporary 
	
		 
 Color  = Green 
	
		 
 Upholstery  = Chenille 
	
		 
 Seat Width  = Seat Width: 22"" 
	
		 
 Wall Hugger  = Wall Hugger 
	
		 
 Height:  41 in. 
		 
 Width:  36 in. 
		 
 Length:  32 in. 
 
  Item Number:  
3607-5718  
  Item ID:  
101784  
  Category:  
Recliner  ",Seating,Armchairs,Recliners,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c34a1670-3af5-469b-b60c-062708703bc5.jpg,in_stock
La-Z-Boy Green Rocking Recliner,"Features mossy green chenille upholstery, contemporary styling, tufted wall hugging back, angled pillow top arms, rocking base, and manual pull lever recline on the right hand side.  
 
	
		 
 Manufacturer  = La-Z-Boy 
	
		 
 Condition  = Exc. Cond. 
	
		 
 Style  = Contemporary 
	
		 
 Color  = Green 
	
		 
 Upholstery  = Chenille 
	
		 
 Seat Width  = Seat Width: 22"" 
	
		 
 Wall Hugger  = Wall Hugger 
	
		 
 Height:  41 in. 
		 
 Width:  36 in. 
		 
 Length:  32 in. 
 
  Item Number:  
3607-5717  
  Item ID:  
101783  
  Category:  
Recliner  ",Seating,Armchairs,Recliners,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ead566c9-5322-456f-811e-eb107a98ca28.jpg,in_stock
Iron Demilune Table,"Features a mottled copper finish half round table top with a beveled edge, and a scrolling black iron base with skirted trim and scrolled feet and trestle.  
 
	
		 
 Condition  = Normal Wear 
	
		 
 Color  = Brown 
	
		 
 Detail 5  = Mfr. Unknown 
	
		 
 Height:  36 in. 
		 
 Width:  55 in. 
		 
 Length:  30 in. 
 
  Item Number:  
17611-19  
  Item ID:  
101780  
  Category:  
Demilune Table  ",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_25868abb-4525-4129-8154-ba722f549d91.jpg,in_stock
Gold Sun Mirror,"Features a mottled antique gold finish, round mirror center, and a sunburst resin frame.  
 
	
		 
 Condition  = Exc. Cond. 
	
		 
 Color  = Gold 
	
		 
 Height:  21 in. 
		 
 Width:  21 in. 
		 
 Length:  0 in. 
 
  Item Number:  
17611-20  
  Item ID:  
101781  
  Category:  
Wall Mirror  ",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_aae3d211-c17d-4961-bf97-071c7dcf8c26.jpg,in_stock
Ethan Allen 9 Drawer Double Dresser,"Features a factory rustic finish over solid wood and solid wood veneer construction, 9 drawers with dovetail construction, brushed nickel hardware, and bracket style feet.  
 
	
		 
 Manufacturer  = Ethan Allen 
	
		 
 Condition  = Good Cond. 
	
		 
 Style  = Traditional Style 
	
		 
 Wood Const.  = Solids/Veneers 
	
		 
 Drawer Qty.  = 9 Drawers 
	
		 
 Dovetail Const.  = Dovetail Const. 
	
		 
 Drawer Slides  = Wood Drawer Slides 
	
		 
 Hardware Color  = Nickel 
	
		 
 Height:  35 in. 
		 
 Width:  64 in. 
		 
 Length:  19 in. 
 
  Item Number:  
18816-1  
  Item ID:  
101779  
  Category:  
Dresser  ",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4e1a2c35-b530-4e56-b486-f630b36de3fb.jpg,in_stock
"The Black Zetian Vase, Tall", Beautiful gold vase. 49.5 inches tall. ,Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2f9ab8ae-b7a5-41e0-b7b1-9b1811901a85.png,in_stock
Origami Outdoor Chair," Bernhardt design. New with tags. 
 Width: 33"" (83.8 cm) Depth: 36"" (91.4 cm) Height: 34"" (86.4 cm ",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_60ff8414-aa50-4219-8320-fdd3e7609f29.png,in_stock
JOFRAN - FAIRVIEW BACKLESS DINING BENCH - OAK - 1931-52KD," New in box.  
  52W x 16D x 19H  ",Seating,Benches,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_67bdf4da-1d51-4a7b-947d-3c90a9d751ba.png,in_stock
Contemporary Brooklyn End Table,This ultra modern wood table comes new in box from Jofran!,Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_27962f8b-1134-43d0-b21e-801a3dbf070c.png,in_stock
Serta - Zoey Upholstered Queen Size Bed - Grey,"Lovely Bed Frame that I had recently bought. Unfortunately it is a little too big for my room, so I’m reselling it. It’s in quasi perfect condition and queen size. Comes disassembled with instructions and all hardware required. Very easy to build it.",Beds,Bed Frames,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6d0444fd-2fd5-4f6e-986a-f6799efc9a37.png,in_stock
Faux Bamboo Armoire Dresser by Thomasville Allegro - Vintage Beige White Hollywood Regency Chinoiserie Kids Nursery Wardrobe Storage Cabinet,"Genuine Thomasville Allegro armoire features faux bamboo, storage shelves, clothes hanging rod, diamond wire mesh doors, five dovetailed drawers and its original creamy white and green finish. It is in very good vintage condition with scuffs from normal wear and age. All of the drawers and doors open and close well. 

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 31” wide x 19” deep x 70"" high.
•Includes its original hardware.
•Original creamy white finish.
•Comes from a smoke free home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP:
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c41ef465-2f42-4445-824e-292cf76ae1b6.jpg,in_stock
Faux Bamboo & Wicker Mirror 51x29 LOCAL PICKUP Vintage Broyhill Rounded Whitewash Coastal Hollywood Regency Style,"Free Local Pickup Only in Fort Myers, FL. Price does not include shipping.

Vintage Broyhill mirror features faux bamboo, faux rattan wicker and a rounded curved top. The mirror glass is in great condition. Can be enjoyed in its original white wash finish or it makes a great piece to paint or lacquer.

•Measures 29"" wide x 51"" high.
•Great for a Hollywood Regency, tropical or coastal styled home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. You may also call or text me at 239-560-2008 with any questions. 

SHIPPING
Free Local Pickup Only in Fort Myers, FL. Price does not include shipping.",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4d7f8efc-1264-467e-b1b6-0b746896001d.jpg,in_stock
Chinese Chippendale Queen Headboard by Henry Link Bali Hai - Vintage White Faux Bamboo Fretwork Full Chinoiserie Coastal Style Furniture,"Genuine Henry Link Bali Hai queen size headboard features faux bamboo & fretwork design and it is in good vintage condition with scuffs and scratches on the painted white finish from normal wear. 

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 59.5"" wide x 2"" thick x 42"" high.
•Can also be used as a full size headboard.

I also have the following Henry Link Bali Hai pieces available:

Long Dresser: https://ellewoodworthy.etsy.com/listing/1542098068

Lingerie Dresser: https://ellewoodworthy.etsy.com/listing/1542088512

Nightstands: https://ellewoodworthy.etsy.com/listing/1535827932

End Table: https://ellewoodworthy.etsy.com/listing/1356337192

Mirror: https://ellewoodworthy.etsy.com/listing/1535856024

Set of 2 Mirrors: https://ellewoodworthy.etsy.com/listing/1541279368

Desk: https://ellewoodworthy.etsy.com/listing/1451283786

Chair: https://ellewoodworthy.etsy.com/listing/1496563842

Vanity Table: https://ellewoodworthy.etsy.com/listing/1544622344

Vanity Chair: https://ellewoodworthy.etsy.com/listing/1558811915

Cabinet Hutch: https://ellewoodworthy.etsy.com/listing/1495031545

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for an accurate shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Beds,Headboards,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_304cb5da-433e-4739-a152-e3c2b54377fe.jpg,in_stock
"Vintage Peacock Chair - Adult Size 54"" Tall 38"" Wide - White Rattan Wicker Fan Back Boho Chic Coastal Mid Century MCM Palm Beach Furniture","Beautiful vintage peacock chair features wicker rattan, wide fan back with woven swirls, cane seat and a painted creamy white finish. It is sturdy and in good vintage condition with some chips in the finish and the cane seat has sunken in from normal wear and age. 

*Shipping is not free. For long-distance shipping, please message me your zip code for the shipping cost to you. Local pickup is available in Fort Myers, FL.*

•Measures 54"" high x 38.5"" wide x 22"" deep.
•Seat is 18"" high x 20"" in diameter.
•Armrests are 27.5"" high.
•Comes from a smoke free home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet. 

SHIPPING:
Please message me for an accurate shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP
We can also meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_67efd92d-3977-469d-8dba-776457dbaa56.jpg,in_stock
"French Provincial Dresser by Henredon Villandry 72"" Long - Vintage Carved Walnut Wood Glass Table Top Louis XV Shabby Chic 9 Drawer Credenza","Vintage Henredon French Provincial style dresser features solid walnut wood in a Louis XV style with beautiful curves, floral motif, elegant carved feet, original brass hardware, nine dovetailed drawers and a removable glass tabletop. It is sturdy and in great vintage condition with some scuffs from normal wear and age. The wooden table top is in excellent condition as it has been protected by the glass top over the years. It is ready to be enjoyed in its original wood finish.

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 72"" wide x 21"" deep x 34"" high.
•Original vintage dresser made by Henredon for the Villandry Collection.
•All 9 dovetailed drawers open and close well.
•Also great as a buffet cabinet, credenza, sideboard, tv stand or sofa table.
•Comes from a smoke free estate home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP:
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_480d54a2-5cb5-4270-ab41-c20b2b53dfe3.jpg,in_stock
"Set of 2 Vintage Post Modern Waterfall Display Cabinets - American of Martinsville Lighted Curio Vatrine Wood, Mirror, Gold, Glass Case Pair","Pair of American of Martinsville Post Modern display cabinets feature honey tone wood, waterfall edges, gold trim, mirrored backs, glass doors, three glass shelves each, and lights inside top & bottom cabinets. They are in very good vintage condition with scuffs from normal wear and age. 

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•This set includes 2 display cabinets.
•Each measures 31.5"" wide x 17.5"" deep x 78.5"" high.
•Six glass shelves are included.
•Come from a smoke free estate home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP:
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Storage & Display Cabinets,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_816b13bd-98bd-49ce-bc65-9df5dc9449ca.jpg,in_stock
Vintage Wicker Dresser by Henry Link with 6 Drawers 58” Long - White Wrapped Rattan Coastal Boho Chic Furniture,"Genuine Henry Link 6 drawer dresser features woven rattan and wicker. It is in fair vintage condition with scuffs, color variations and chips in the white finish from normal wear and age. It is sturdy, all of the drawers open & close well and the laminate tabletop is in great condition. 

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 58.5” wide x 19.25” deep x 30.5"" high. 
•Stamped ""Henry Link"".
•All six dovetailed drawers open and close well.
•Includes its original hardware.
•Comes from a smoke free home.
•Also great as a buffet cabinet, credenza, tv stand, media center, entry table or changing table.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. You may also call or text me at 239-560-2008 with any questions. 

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d886c41a-58c2-49e8-a3ae-4d52ffab6be2.jpg,in_stock
Rattan Coffee Table - Vintage Rectangular Coastal Boho Chic Hollywood Regency Bamboo Style Furniture,"Vintage coffee table features natural rattan, split bamboo and wicker with sturdy square legs. It is in very good condition with some scuffs from normal wear. Clean and ready to be enjoyed in its original natural finish.

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 40.5"" wide x 30"" deep x 18"" high.
•Comes from a smoke free home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP: 
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece of furniture before the shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6a6422cd-6d66-4a09-a01d-3ce18e3a7660.jpg,in_stock
Set of 2 Henry Link Wicker Nightstands FREE SHIPPING - Vintage White Wrapped Rattan Coastal Boho Chic End Tables Pair,"Genuine Henry Link wicker 2 drawer nightstands are in fair vintage condition with scuffs, color variations and chips in the white finish from normal wear and age. They are sturdy, all of the drawers open & close well and the laminate tabletops are in great condition. 

This set includes 2 bedside tables and FREE shipping.

•Each measures 24"" wide x 17"" deep x 24.5"" high.
•All of the dovetailed drawers open and close well.
•Also great as end, side or accent tables.
•Comes from a smoke free home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. You may also call or text me at 239-560-2008 with any questions. 

SHIPPING
Shipping is free to the 48 contagious United States.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece of furniture and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Nightstands,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_cfeaf96d-6d85-4f43-934c-80b14b8de66b.jpg,in_stock
"Rattan Sideboard with Bamboo & Wicker 48"" - Vintage Buffet Cabinet Hollywood Regency Coastal Boho Chic TV Stand Credenza Glass Table Top","Vintage sideboard features sturdy bamboo construction, rattan wicker, glass table top and its original natural finish. It is in very good vintage condition with some scuffs from normal wear and age. Ready to be enjoyed in its original finish.

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 48"" wide x 18"" deep x 28"" high.
•Sturdy & heavyweight construction. 
•Both doors and drawer open and close well. 
•Comes from a smoke free home.
•Great as a buffet cabinet, sideboard, credenza, media console or tv stand. 
 
I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more?? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet. -Elle 

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP:
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Sideboards & Credenzas,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ae670399-2a60-48b9-a7b3-83c92d53af02.jpg,in_stock
"Art Deco Style Sideboard Made of Solid Wood in Mahogany Tone 67.5"" Long 32.5"" High - Credenza, Buffet or Media Cabinet","Art Deco style sideboard is made of beautiful mahogany tone wood. This piece is heavy and made of solid wood with beautiful sleek curves. Also great as a media cabinet. All of the drawers and doors open and close smoothly.

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 67.5"" wide x 22"" deep x 32.5"" high.
•Also great as buffet cabinet, sideboard, credenza, media center or tv stand.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more?? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet. -Elle 

SHIPPING:
Please message me for an accurate shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP
We can also meet locally in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece of furniture before the shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Sideboards & Credenzas,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_b44ac850-d6ef-4012-ac6c-f2db6f43e836.jpg,in_stock
Henry Link Bali Hai Hutch Bookcase for Chest - 1970s Vintage Creamy White Faux Bamboo Hollywood Regency Coastal Bookshelf Top,"Genuine Henry Link Bali Hai hutch is in very good vintage condition with some scuffs from normal wear and age. 

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Hutch top measures 30.5"" wide x 11.5"" deep x 43"" high.
•Both dovetailed drawers open and close smoothly.
•Comes from a smoke free home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP:
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Bookcases & Shelving,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_47e2a234-2100-4b85-a84f-61d7573dc78e.jpg,in_stock
Chinoiserie Nightstand with 3 Drawers by Dixie ShangriLa - Vintage Wood Asian Hollywood Regency Style Bachelor’s Chest or Accent Dresser,"Genuine Dixie Shangri-La nightstand features Asian style hardware, feet caps, fretwork details, three dovetailed drawers that open and close well and its original wooden finish. It is in very good vintage condition with scuffs from normal wear and age. 

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 30” wide × 18.5ʺ deep × 30” high.
•Includes its original hardware.
•Comes from a smoke free home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.  

SHIPPING
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP
We can meet in Fort Myers, FL.

RETURNS
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_903472ff-cb8e-4beb-ae49-7c7bb001dae8.jpg,in_stock
French Provincial Dresser & Display Hutch by Henry Link - 1970s Vintage Beige 6 Drawers and Lighted Bookcase Farmhouse Shabby Chic 2pc Set,"Vintage Henry Link French Provincial dresser and hutch set features beautiful curves, elegant hardware, dovetailed drawers, a working light and its original creamy beige finish. Set is sturdy and in good vintage condition with some scuffs and chips in the finish from normal wear and age. 

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•This set includes 2 pieces: dresser and hutch.
•Overall measurements: 46.5” wide x 19” deep x 73” high. 
•Dresser is 46.5” wide x 19” deep x 30” high with 6 dovetailed drawers.
•Hutch is 46.5” wide x 12” deep x 43” high with 2 dovetailed drawers.
•Stamped “Henry Link”.
•Includes original hardware and factory finish.
•Comes from a smoke free estate home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP:
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,"Dressers & Chests of Drawers, Storage & Display Cabinets",,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_b0d986a0-905d-415e-8b64-b84a450cee7d.jpg,in_stock
Faux Bamboo Desk Chair by Dixie FREE SHIPPING Vintage Henry Link Bali Hai Style Brown Wood Hollywood Regency Coastal Faux Bamboo Vanity Seat,"FREE shipping to the 48 contiguous states.

Vintage faux bamboo desk chair is sturdy and in good vintage condition with some scuffs from normal wear and age. It has its original wood finish and black vinyl upholstered seat. It makes a great piece to reupholster. 

•Original vintage chair by Dixie.
•Measures 33"" high x 18"" wide x 18"" deep.
•Comes from a smoke free home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING
Shipping is free to the 48 contagious United States.

LOCAL PICKUP
We can meet locally in Fort Myers, FL. Please message me for details.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece of furniture and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Seating,Chairs,Office Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_84edd4ed-0fab-43c5-ac91-27d3a177b50c.jpg,in_stock
